[Data]
	C.O.V. Position									Rover Pose			Bogey Angles		Wheel position												time
	X			Y			Z			Pose			Right Bogey Angle	Left Bogey Angle	Left Front			Left Rear			Right Front			Right Rear			time
Index	Acceleration	Velocity	Position	Acceleration	Velocity	Position	Acceleration	Velocity	Position	Pitch	Yaw	Roll	Right	Left	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	Series
1074																											17.883333
1075																											17.900000
1076																											17.916666
1077																											17.933332
1078																											17.950001
1079																											17.966667
1080																											17.983334
1081																											18.000000
1082																											18.016666
1083																											18.033333
1084																											18.049999
1085																											18.066668
1086																											18.083334
1087																											18.100000
1088																											18.116667
1089																											18.133333
1090																											18.150000
1091																											18.166666
1092																											18.183332
1093																											18.200001
1094																											18.216667
1095																											18.233334
1096																											18.250000
1097																											18.266666
1098																											18.283333
1099																											18.299999
1100																											18.316668
1101																											18.333334
1102																											18.350000
1103																											18.366667
1104																											18.383333
